Symbol,Name,Price (Intraday)
MRCPO.BA,,"77,980.00"
SG4X.BA,,105.70
RUC5D.BA,,103.00
LMS7O.BA,,"135,600.00"
BRKBD.BA,BERKSHIRE HATHAWAY INC CEDEAR E,18.85
TZV25.BA,,"107,000.00"
IRCFO.BA,Nasdaq US Automobiles and Parts,"114,300.00"
MRCFO.BA,,"139,990.00"
LRCX.BA,Lam Research Corporation,"25,796.00"
COSTD.BA,Costco Wholesale Corporation,18.50
TZXD6.BA,,128.00
S14O4.BA,,114.25
BPOC7.BA,,"101,800.00"
SM5X.BA,,105.09
RUC7D.BA,,100.00
BNA26.BA,,"143,000.00"
DNC3O.BA,,"140,500.00"
GD41.BA,,"55,710.00"
AL29.BA,,"74,220.00"
CAC8D.BA,,100.50
CP30O.BA,,"92,000.00"
TXD6X.BA,,129.00
CVXD.BA,Chevron Corporation,9.97
ERJD.BA,Embraer S.A.,28.35
SPCE.BA,VIRGIN GALACTIC HLDGS INC CEDEA,"22,790.00"
ABBVD.BA,AbbVie Inc.,18.05
RIOT.BA,RIOT PLATFORMS INC RIOT PLATFOR,"4,325.00"
RACE.BA,FERRARI N V CEDEAR EACH 83 REP,"6,626.00"
RIOD.BA,Rio Tinto Group,8.33
UALD.BA,"United Airlines Holdings, Inc.",9.70
SLBD.BA,Schlumberger Limited,17.00
SHELD.BA,Shell plc,37.00
SLBD.BA,Schlumberger Limited,17.00
SHELD.BA,Shell plc,37.00
ABBVD.BA,AbbVie Inc.,18.05
RIOT.BA,RIOT PLATFORMS INC RIOT PLATFOR,"4,325.00"
RACE.BA,FERRARI N V CEDEAR EACH 83 REP,"6,626.00"
MMMD.BA,3M Company,10.45
RENT3.BA,Localiza Rent a Car S.A.,"5,085.50"
PGD.BA,The Procter & Gamble Company,11.20
UALD.BA,"United Airlines Holdings, Inc.",9.70
AMZND.BA,"Amazon.com, Inc.",1.3700
QCOMD.BA,QUALCOMM Incorporated,19.30
CVS.BA,CVS HEALTH CORPORATION CEDEAR E,"5,293.00"
FD.BA,Ford Motor Company,12.40
ADGOD.BA,Adecoagro S.A.,9.78
SNOW.BA,Snowflake Inc.,"6,108.50"
META.BA,"Meta Platforms, Inc.","28,629.50"
RIOD.BA,Rio Tinto Group,8.33
EWZD.BA,ISHARES INC CEDEAR 2 REPR 1 ETF,13.85
ERJD.BA,Embraer S.A.,28.35
CVXD.BA,Chevron Corporation,9.97
AMDD.BA,"Advanced Micro Devices, Inc.",16.55
DAL.BA,DELTA AIR LINES INC CEDEAR EACH,"8,030.00"
RBLX.BA,Roblox Corporation,"25,140.00"
LLYD.BA,Eli Lilly and Company,16.25
PFED.BA,Pfizer Inc.,7.23
TSLAD.BA,"Tesla, Inc.",13.30
CRMD.BA,"Salesforce, Inc.",15.25
NOKA.BA,Nokia Oyj,"5,141.00"
VZD.BA,Verizon Communications Inc.,10.40
S01L4.BA,,105.29
PNVCO.BA,,"127,000.00"
VSCLD.BA,,101.00
TLCFO.BA,,"84,330.00"
RACED.BA,FERRARI N V CEDEAR EACH 83 REP,5.65
PAMPC.BA,,1.7500
CP34D.BA,,101.40
CP30X.BA,,"90,650.00"
T2X5Z.BA,,0.3950
CS34O.BA,,"57,480.00"
RUC7D.BA,,100.00
BNA26.BA,,"143,000.00"
DNC3O.BA,,"140,500.00"
GD41.BA,,"55,710.00"
AL29.BA,,"74,220.00"
CAC8D.BA,,100.50
T5X4.BA,,411.00
MSSAO.BA,,"142,780.00"
TDG24.BA,,"105,250.00"
MGCHO.BA,,"135,940.00"
IRCIO.BA,,"131,230.00"
MRCPO.BA,,"77,980.00"
SG4X.BA,,105.70
RUC5D.BA,,103.00
TZV25.BA,,"107,000.00"
BPD7C.BA,,71.85
TZXM5.BA,,111.00
TECOB.BA,TELECOM ARGENTINA SA,"1,823.80"
